title,score,participant,reservation,director
크루엘라,9.33,"4,587",19.65,크레이그 질레스피
콰이어트 플레이스 2,8.62,318,16.08,존 크래신스키
루카,9.00,27,15.43,엔리코 카사로사
극장판 귀멸의 칼날: 무한열차편,9.29,"12,374",7.34,소토자키 하루오
컨저링 3: 악마가 시켰다,6.73,"1,758",6.69,마이클 차베즈
여고괴담 여섯번째 이야기 : 모교,6.47,47,6.6,이미영
캐시트럭,8.21,546,5.74,가이 리치
분노의 질주: 더 얼티메이트,7.65,"5,405",3.12,저스틴 린
뱅드림! 로젤리아 에피소드Ⅰ: 약속,8.52,46,1.83,코다이 카키모토
파이프라인,7.11,"1,325",1.62,유하
아야와 마녀,7.38,134,1.41,미야자키 고로
클라이밍,7.36,14,1.33,김혜미
"그 여름, 가장 차가웠던",10.00,5,0.83,주순
그레타 툰베리,7.75,4,0.79,나탄 그로스만
야구소녀,8.13,905,0.57,최윤태
노매드랜드,8.48,567,0.45,클로이 자오
프로페서 앤 매드맨,8.99,87,0.4,P.B. 셰므란
혼자 사는 사람들,8.78,154,0.36,홍성은
애플,7.85,47,0.29,크리스토스 니코우
인트로덕션,8.11,61,0.21,홍상수
500일의 썸머,8.43,"4,502",0.21,마크 웹
낫아웃,8.75,132,0.21,이정곤
썰,6.85,54,0.21,황승재
굴뚝마을의 푸펠,9.05,113,0.21,히로타 유스케
까치발,8.86,7,0.19,권우정
레이니 데이 인 뉴욕,5.63,696,0.19,우디 앨런
#위왓치유,9.05,20,0.17,바르보라 차르포바
더 파더,8.91,331,0.17,플로리안 젤러
포겟 미 낫-엄마에게 쓰는 편지,9.25,8,0.12,선희 엥겔스토프
중경삼림,8.93,"2,556",0.12,왕가위
청춘 선거,10.00,2,0.12,민환기
사랑하고 사랑받고 차고 차이고,8.41,29,0.1,미키 타카히로
크루즈 패밀리: 뉴 에이지,9.03,426,0.1,조엘 크로포드
극장판 콩순이: 장난감나라 대모험,8.94,159,0.1,이선명
학교 가는 길,9.59,132,0.1,김정인
너의 이름은.,8.79,"32,699",0.1,신카이 마코토
라이더스 오브 저스티스,7.68,106,0.1,앤더스 토마스 옌센
미나리,7.67,"5,076",0.07,정이삭
화양연화,8.77,"1,874",0.07,왕가위
강변호텔,5.98,406,0.05,홍상수
폭력의 그림자,0.00,0,0.05,닉 로우랜드
쿠사마 야요이: 무한의 세계,9.24,17,0.05,헤더 렌즈
화이트 온 화이트,7.50,12,0.05,테오 코트
도라에몽: 스탠바이미 2,9.01,234,0.05,야기 류이치
토토리! 우리 둘만의 여름,8.37,19,0.05,아릴드 오스틴 아문센
명탐정 코난: 비색의 탄환,8.93,842,0.05,나가오카 치카
내겐 너무 소중한 너,9.04,163,0.02,이창원
강호아녀,6.39,18,0.02,지아장커
빅 피쉬,9.02,"3,134",0.02,팀 버튼
플래시백,6.00,26,0.02,크리스토퍼 맥브라이드
마세티 킬즈,6.80,245,0.01,로버트 로드리게즈
실크 로드,8.06,17,0.01,틸러 러셀
분노의 질주,8.27,566,0.01,롭 코헨
미스피츠,3.58,24,0.01,레니 할린
스쿨 오브 락(樂),8.36,11,0.01,강호준
부활: 그 증거,9.30,418,0.01,김상철
분노,8.57,"1,295",0.01,이상일
비커밍 아스트리드,7.60,15,0.01,페르닐레 피셔 크리스텐센
"쿠오바디스, 아이다",8.74,23,0.01,야스밀라 즈바니치
흐린 하늘에 웃다,1.00,1,0.01,모토히로 카츠유키
그을린 사랑,8.68,984,0.01,드니 빌뇌브
노 게임 노 라이프 -제로-,7.26,"3,170",0.01,이시즈카 아츠코
봉쇄수도원 카르투시오,9.34,74,0.01,김동일
블루 재스민,8.51,933,0.01,우디 앨런
서칭 포 슈가맨,9.04,801,0.01,말릭 벤젤룰
소리에 놀라지 않는 사자처럼,9.17,6,0.01,윤성준
아들의 이름으로,6.48,321,0.01,이정국
어른들은 몰라요,5.03,890,0.01,이환
억남,7.25,4,0.01,오오토모 케이시
가을 햇살,7.61,23,0.01,오즈 야스지로
간츠: 오,8.19,472,0.01,사이토 케이이치
"구름의 저편, 약속의 장소",6.93,107,0.01,신카이 마코토
그 여름 가장 조용한 바다,8.76,248,0.01,기타노 다케시
그리고 삶은 계속된다,8.39,33,0.01,압바스 키아로스타미
꽁치의 맛,8.71,86,0.01,오즈 야스지로
나만 없어 고양이,7.53,224,0.01,복운석
나츠메 우인장: 세상과 연을 맺다,9.27,229,0.01,오오모리 타카히로
날씨의 아이,7.95,"5,956",0.01,신카이 마코토
날으는 해병대,0.00,0,0.01,니콜라스 레이
내 친구의 집은 어디인가,9.12,153,0.01,압바스 키아로스타미
내언니전지현과 나,9.15,179,0.01,박윤진
네가 내가 되었으면 좋겠다,7.65,20,0.01,김충길
덕구,9.43,"2,638",0.01,방수인
도망친 여자,6.79,290,0.01,홍상수
동경의 황혼,8.29,17,0.01,오즈 야스지로
라스트 씬,7.11,9,0.01,박배일
러브 라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우,8.35,344,0.01,사카이 카즈오
러브 액츄얼리,8.93,"5,786",0.01,리차드 커티스
마스터,7.95,669,0.01,폴 토마스 앤더슨
막다른 골목의 추억,8.59,136,0.01,최현영
"무순, 세상을 가로질러",8.40,10,0.01,남승석
문라이즈 킹덤,8.13,657,0.01,웨스 앤더슨
미스터 노바디,8.25,819,0.01,자코 반 도마엘
바람이 우리를 데려다 주리라,8.12,24,0.01,압바스 키아로스타미
버티고,6.27,349,0.01,전계수
벙어리 삼룡,6.40,5,0.01,나운규
별을 쫓는 아이,7.92,"1,407",0.01,신카이 마코토
소공녀,8.79,"2,824",0.01,전고운
슈퍼노바,7.94,47,0.01,해리 맥퀸
언어의 정원,8.17,"2,469",0.01,신카이 마코토
엔딩 노트,8.93,177,0.01,마미 스나다
여름날,8.89,19,0.01,오정석
여호,7.00,1,0.01,마이클 포웰
원더풀 라이프,8.01,352,0.01,고레에다 히로카즈
유스,8.34,"1,006",0.01,파올로 소렌티노
유전,7.23,"3,303",0.01,아리 에스터
은혼,7.19,486,0.01,후쿠다 유이치
은혼2: 규칙은 깨라고 있는 것,8.35,197,0.01,후쿠다 유이치
이별의 아침에 약속의 꽃을 장식하자,8.88,"1,387",0.01,오카다 마리
인디언 전사,5.00,1,0.01,안드레 드 토스
전야,7.81,86,0.01,김상민
전주에서 길을 묻다,8.00,9,0.01,진승현
"좋은 빛, 좋은 공기",7.35,48,0.01,임흥순
쥴 앤 짐,8.12,129,0.01,프랑소와 트뤼포
찬실이는 복도 많지,8.76,"1,003",0.01,김초희
창문넘어 도망친 100세 노인,7.84,"1,832",0.01,플렉스 할그렌
천당의 밤과 안개,8.08,12,0.01,정성일
체리 향기,8.75,142,0.01,압바스 키아로스타미
초여름,7.88,17,0.01,오즈 야스지로
타오르는 여인의 초상,9.05,"1,787",0.01,셀린 시아마
파도를 걷는 소년,6.97,37,0.01,최창환
패터슨,8.30,"1,208",0.01,짐 자무쉬
페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,7.11,829,0.01,스도 토모노리
플로리다 프로젝트,8.65,"1,805",0.01,션 베이커
해피 투게더,9.20,"1,161",0.01,왕가위
혼자,5.01,99,0.01,박홍민
화녀,8.25,56,0.01,김기영
로슈포르의 숙녀들,8.53,19,0,자크 데미
미스 사이공: 25주년 특별 공연,9.21,277,0,브렛 설리반
바그다드 카페 : 디렉터스컷,9.06,929,0,퍼시 애들론
쉘부르의 우산,8.78,257,0,자크 데미
신 테니스의 왕자 효테이 vs 릿카이 : 게임 오브 퓨처 후편,7.00,2,0,카와구치 케이이치로
오버드라이브,5.35,71,0,안토니오 니그렛
